set	gene_id
innatedb_genes	ENSG00000174775
innatedb_genes	ENSG00000113905
innatedb_genes	ENSG00000134489
innatedb_genes	ENSG00000185122
innatedb_genes	ENSG00000080824
innatedb_genes	ENSG00000166598
innatedb_genes	ENSG00000187522
innatedb_genes	ENSG00000204389
innatedb_genes	ENSG00000133265
innatedb_genes	ENSG00000144381
innatedb_genes	ENSG00000090339
innatedb_genes	ENSG00000160223
innatedb_genes	ENSG00000131203
innatedb_genes	ENSG00000163565
innatedb_genes	ENSG00000165949
innatedb_genes	ENSG00000126709
innatedb_genes	ENSG00000115267
innatedb_genes	ENSG00000185745
innatedb_genes	ENSG00000119922
innatedb_genes	ENSG00000119917
innatedb_genes	ENSG00000152778
innatedb_genes	ENSG00000185885
innatedb_genes	ENSG00000185201
innatedb_genes	ENSG00000142089
innatedb_genes	ENSG00000197919
innatedb_genes	ENSG00000188379
innatedb_genes	ENSG00000142166
innatedb_genes	ENSG00000159110
innatedb_genes	ENSG00000171855
innatedb_genes	ENSG00000111537
innatedb_genes	ENSG00000027697
innatedb_genes	ENSG00000159128
innatedb_genes	ENSG00000182393
innatedb_genes	ENSG00000183709
innatedb_genes	ENSG00000197110
innatedb_genes	ENSG00000006652
innatedb_genes	ENSG00000017427
innatedb_genes	ENSG00000140443
innatedb_genes	ENSG00000104365
innatedb_genes	ENSG00000263528
innatedb_genes	ENSG00000269335
innatedb_genes	ENSG00000136634
innatedb_genes	ENSG00000243646
innatedb_genes	ENSG00000168811
innatedb_genes	ENSG00000113302
innatedb_genes	ENSG00000169194
innatedb_genes	ENSG00000131724
innatedb_genes	ENSG00000164136
innatedb_genes	ENSG00000112115
innatedb_genes	ENSG00000124391
innatedb_genes	ENSG00000112116
innatedb_genes	ENSG00000163701
innatedb_genes	ENSG00000150782
innatedb_genes	ENSG00000115604
innatedb_genes	ENSG00000142224
innatedb_genes	ENSG00000115008
innatedb_genes	ENSG00000125538
innatedb_genes	ENSG00000115594
innatedb_genes	ENSG00000115590
innatedb_genes	ENSG00000196083
innatedb_genes	ENSG00000169306
innatedb_genes	ENSG00000115602
innatedb_genes	ENSG00000115598
innatedb_genes	ENSG00000109471
innatedb_genes	ENSG00000138684
innatedb_genes	ENSG00000127318
innatedb_genes	ENSG00000164485
innatedb_genes	ENSG00000110944
innatedb_genes	ENSG00000166090
innatedb_genes	ENSG00000197272
innatedb_genes	ENSG00000100385
innatedb_genes	ENSG00000147168
innatedb_genes	ENSG00000204671
innatedb_genes	ENSG00000008517
innatedb_genes	ENSG00000137033
innatedb_genes	ENSG00000125571
innatedb_genes	ENSG00000113520
innatedb_genes	ENSG00000077238
innatedb_genes	ENSG00000113525
innatedb_genes	ENSG00000136244
innatedb_genes	ENSG00000134352
innatedb_genes	ENSG00000168685
innatedb_genes	ENSG00000145839
innatedb_genes	ENSG00000129351
innatedb_genes	ENSG00000178035
innatedb_genes	ENSG00000111653
innatedb_genes	ENSG00000168918
innatedb_genes	ENSG00000186480
innatedb_genes	ENSG00000176095
innatedb_genes	ENSG00000184216
innatedb_genes	ENSG00000146243
innatedb_genes	ENSG00000134070
innatedb_genes	ENSG00000090376
innatedb_genes	ENSG00000198001
innatedb_genes	ENSG00000125347
innatedb_genes	ENSG00000168310
innatedb_genes	ENSG00000170604
innatedb_genes	ENSG00000126456
innatedb_genes	ENSG00000137265
innatedb_genes	ENSG00000128604
innatedb_genes	ENSG00000117595
innatedb_genes	ENSG00000185507
innatedb_genes	ENSG00000140968
innatedb_genes	ENSG00000213928
innatedb_genes	ENSG00000187608
innatedb_genes	ENSG00000172183
innatedb_genes	ENSG00000078747
innatedb_genes	ENSG00000005884
innatedb_genes	ENSG00000169896
innatedb_genes	ENSG00000138448
innatedb_genes	ENSG00000140678
innatedb_genes	ENSG00000150093
innatedb_genes	ENSG00000160255
